Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
Tuberin_pT1462-R-V	TSC2	-6.37870425143911	-6.79182502033048	-4.39772054314538	-5.56347729176465	-5.41531079074064	-7.02125853337934	-4.66534799321278	-5.54149687154163	-5.41251541026880	-5.37129262348380	-5.63822875247649	-5.33844527043738	-5.40342570067810	-5.50868198721377	-5.64759022522564	-3.72279038013830	-5.97530605132653	-5.84877690380790	-5.49717777313563	-6.95958872806256	-5.20139295892191	-7.13590331521527	-5.46481841161380	-5.07351644517177	-4.36586427812608	-4.97827863742987	-5.41041025873351	-6.06268895849651	-5.79763167541602	-4.14184813879810	-4.99948816195718	-5.84163408771498	-5.94101469876486	-6.07379410750230	-4.46257748074667	-6.16775151045396
TUFM-R-V	TUFM	-4.79257281656837	-5.50005927233334	-5.48711819365111	-6.43823503168580	-3.38653441865123	-3.51375702661001	-5.43702919507063	-8.93511603493277	-5.12339628315708	-5.59411278184369	-4.03767870951628	-4.46927404446021	-4.64784511934566	-4.75871577935966	-4.97494663852856	-3.34668160006621	-6.42713629371924	-5.68806465731179	-6.73834255367553	-4.28451898356975	-3.16249252108843	-6.38426434862721	-5.32624312942300	-5.31151348609109	-6.13229362380795	-4.29439849369869	-7.32283991740389	-7.80377246140361	-5.72015934598563	-4.29327433529648	-4.65640141389356	-5.09439539839816	-6.03580783339321	-5.06507619360963	-4.53184938547085	-4.09542253977762
TWIST-M-C	TWIST1	-5.32810607855910	-5.35233802717121	-6.31148864158205	-5.31591911000284	-7.89588937877680	-5.40693527593548	-5.08635555465827	-5.60723509522310	-5.43257964636693	-5.61377998202033	-3.99335586079842	-4.14866020770985	-6.54860179892227	-5.69458755380930	-4.80855957547752	-3.76629266959235	-5.67177546161297	-5.98440426759377	-4.73661702181661	-4.19545557683570	-4.78036663202497	-7.07368243166316	-4.88124527915294	-5.19805382113507	-5.74303849776399	-4.77227504211933	-4.59165531081638	-4.84647864250704	-5.86259066410571	-4.46765588762137	-4.96672380118014	-5.15218977071631	-6.86475648601419	-4.76235574558969	-5.38800610154674	-4.48472470340638
Tyro3-R-V	TYRO3	-4.71901682976572	-4.58299289035857	-3.82205152862606	-4.04772392880484	-4.60532617923371	-4.14024365693771	-4.22618542897210	-4.64501141749370	-5.03708922341443	-4.79859738054586	-4.67769930302933	-4.33017757141489	-4.13993235329505	-5.35186116280955	-4.26761969209709	-4.27344035576982	-4.60353641317921	-4.10175056024436	-4.94612752133891	-4.31384251108171	-4.84820212371636	-5.22122141483022	-4.61376677629619	-4.53721047515693	-3.99819820836138	-3.92802999827844	-5.44178587689906	-4.46076204840706	-4.12537681145511	-5.44963796837064	-3.81246901271618	-4.04191038875952	-4.02950811007557	-4.55076476463645	-3.94550051679837	-4.71602488522889
UBAC1-R-V	UBAC1	-4.93715930170652	-5.67115679766170	-5.21623383198622	-6.15941501017155	-3.72786203432726	-4.93373948507114	-5.60423165155945	-6.00033961119700	-7.40246978922927	-4.63559914211929	-6.97486895827397	-4.53278179153646	-6.10506033033755	-5.09725138897655	-4.99336813622191	-3.62546658744001	-5.55724533950072	-6.19188958556835	-5.37712797333248	-5.24777737680032	-4.59926113765778	-5.33612887897179	-5.02649804270292	-5.37594736310410	-5.48433552942454	-5.57927455695111	-5.02749717080440	-5.87698017521152	-4.55375295365043	-6.39377448840680	-6.00739033966639	-5.30181446969507	-4.86082687164583	-5.24996487396351	-5.69791268654545	-6.23958225100288
UGT1A-M-V	UGT1A	-5.27015229900583	-5.37587127591223	-6.14317992611546	-3.66150892390963	-6.05311571077826	-8.14113170420115	-3.92302480993245	-4.88491645390538	-6.09757652877721	-4.67214047013499	-5.63271111474264	-5.26371440249949	-5.14004010137476	-7.00157385084638	-5.10829157192841	-5.35584745273464	-5.77296002488604	-6.21659867047777	-7.72096261415458	-5.21950380459060	-4.95595472171938	-4.85816581995239	-6.10378333970912	-5.61601985198470	-6.90483972934834	-5.60126415755674	-4.58970138314106	-8.19601705243384	-5.33823009661430	-3.93418874398707	-6.20323034894945	-5.84744444742353	-5.42186241155476	-5.20738181680550	-5.02153648970723	-4.65767222262237
U-Histone-H2B-R-C	HIST1H2BA HIST1H2BB HIST1H2BC	-2.38471994045803	-2.52585638266936	-4.43012229306827	-4.56734101153105	-2.77931462706946	-2.50761330853667	-2.38862482075877	-3.27498962113406	-3.15344026772389	-2.20835138138885	-3.69716460873714	-2.70000951837371	-2.78417437367228	-1.67179654999971	-3.59619471171875	-2.22379683833230	-3.88313636144158	-2.96495547209585	-4.61014143806957	-3.45205793058651	-2.06861722222362	-3.07732894301433	-3.05235755092511	-1.66723295600389	-3.13254858050189	-2.43374486592502	-3.01009074815607	-4.85317115111627	-2.70234845650442	-3.15438429626882	-4.55615131353034	-3.61076161450713	-2.03107123519998	-3.66831992608533	-3.88996975483734	-2.68556087760861
ULK1_pS757-R-C	ULK1	-4.03402757534728	-4.67352605785759	-3.50309013241297	-4.62398465337941	-6.48242055937964	-3.69635773738400	-2.71578449638879	-5.45757014224513	-5.21163654712531	-2.07337449694809	-3.79726459334458	-6.38447475000083	-5.81119978467217	-5.12261772783293	-4.71354582271951	-3.54829806969396	-6.57172375132901	-5.42076547628596	-4.82490741428114	-4.89937836232867	-3.80762044087487	-4.51474680354497	-4.21781147381767	-8.21413980416855	-3.96538227239090	-4.05042322349381	-5.27212693250618	-4.82240898330593	-6.34014390291433	-4.61127665898102	-4.27658254512962	-5.56008198122770	-4.19432172339430	-4.13615651134543	-3.01212758286005	-4.20954014596818
VASP-R-V	VASP	-5.05213626374106	-4.34162376400896	-5.36389018568166	-4.89920078833464	-4.68975104636071	-8.62477052213396	-4.99717952254232	-5.83733765685674	-4.92443952517238	-5.66587362643053	-5.22495664462051	-5.37979984249543	-5.09780199505268	-5.20652962001009	-6.39958029818566	-6.03495707130363	-7.01911768641990	-8.17576967965839	-5.36194618251836	-6.84181496571799	-4.38039980866859	-5.31252125830578	-6.92956189577704	-5.44849713791143	-4.28302536442507	-7.56905011605756	-5.83691780156631	-4.45701842271378	-6.00060548956338	-6.55414143895827	-6.11433918568007	-6.02587514707956	-5.63725730736735	-6.31812342302084	-5.44175328252361	-5.41907604080072
VEGFR-2-R-V	KDR	-4.88667086527707	-5.28600571236241	-4.98791119294424	-5.84304977739326	-3.65881644940350	-2.91844131974883	-5.79593282272347	-6.29669628330555	-5.69967865957053	-3.34513418020783	-4.93626376982941	-4.00412743506454	-4.96648960762319	-6.20589365922242	-2.42813857119892	-6.19404821527226	-6.48842666612970	-6.58144901686184	-4.53329128772383	-3.07991641262931	-2.67276572076799	-4.53043014538262	-4.06464383153258	-4.44438310137638	-2.79034211512881	-2.38977987881341	-4.64917896951723	-4.51190453632909	-6.55395019709910	-2.84351533331835	-2.82725039639105	-5.73759618524081	-5.57527301298044	-5.53254963204298	-2.38032216616286	-3.25852113246379
VHL-EPPK1-M-C	EPPK1	-3.72601693661348	-3.85390941552934	-3.49390173761159	-3.00609234866357	-3.97197184950636	-2.49734588778117	-2.99692849715083	-3.10115212275208	-3.14118233926328	-2.93853632423383	-2.20939737010798	-4.64315930396333	-3.63028496939030	-3.81557404551823	-2.83467548761056	-2.65330378786323	-3.53297992887233	-4.01623083439895	-3.41360713784807	-2.76887697129844	-2.55104545083105	-3.45306936221206	-2.67794034884992	-2.35979158268633	-3.23603062844416	-1.31745528211691	-4.53020055848243	-2.32215408395499	-4.96995923426390	-4.92814520139271	-3.59381690459812	-4.35294729669794	-3.44601370575534	-2.71894757338377	-2.52986489309611	-2.50432764245234
Wee1-R-C	WEE1	-3.83179218842380	-4.62611018229434	-4.93167499416592	-5.10263887927714	-4.55583242407734	-4.27515017399228	-5.21214435998278	-4.95410488091494	-4.35090836104320	-4.62372243629118	-7.07823609518174	-4.54135270931571	-5.91474389486992	-4.61226143482635	-3.70574256165968	-4.12006105155668	-5.26358287326961	-4.91106572415244	-4.08164924375011	-5.32665147057317	-3.71395924391142	-7.08765933615693	-5.88630579207655	-4.65557490481663	-3.57275931157983	-3.67088974422277	-5.12038906392452	-3.86227297222761	-4.78851903676318	-7.08506902282390	-5.27571985105607	-4.60735401137435	-5.34321596462428	-4.55939882048581	-4.88722892127262	-4.35917635974114
Wee1_pS642-R-C	WEE1	-4.81541625638886	-5.37589533417089	-4.64169661318503	-5.08376374194966	-4.21235502706840	-3.54669706775008	-4.31847043609141	-4.69492441980862	-6.04231133959644	-5.39961374488832	-5.00300578885684	-4.17825879086070	-4.17100381826133	-1.16602910358710	-4.11310534720349	-3.63085075354285	-4.10491502412504	-4.94943259803370	-4.88789451472623	-3.85489896563385	-2.42592372164710	-5.31324481038617	-3.53369231048792	-5.19300990531408	-2.82494154318689	-4.97348916402167	-4.36944077966465	-3.57933840277459	-4.74727306569667	-3.89465867902230	-5.46860976217533	-4.54821720675325	-5.00877786935949	-4.30349357456721	-2.92035184864757	-5.53437096290119
WIPI1-R-C	WIPI1	-2.59008836219421	-5.75439881333483	-3.69725612803947	-4.20225489337228	-6.91200843656879	-6.26921668184801	-4.12495407887554	-3.77526989417311	-4.75338862257692	-4.08341277902634	-5.42639076213449	-4.69963171117761	-3.67602991250101	-4.67275201885213	-5.57323007527680	-2.12381064348007	-4.24206270567501	-3.59589793105726	-5.48430102398464	-4.86404387486920	-3.77809394184048	-3.76507320468490	-3.97808757517780	-5.12154802171802	-6.11786176376471	-4.19140120264750	-5.19489257804437	-4.02550056066490	-5.05775816248275	-4.60000364778404	-5.34991483615170	-4.95887112100538	-3.92026937061158	-5.58673360647101	-5.99499645683236	-4.95048529241151
WIPI2-R-C	WIPI2	-6.56129289945520	-4.64584293194638	-5.14904524020814	-4.48185311964940	-5.44407732841003	-4.31813425774487	-6.32520748084541	-6.75933356738438	-7.13688257539351	-4.23337648779986	-4.98903086491896	-4.10212990197206	-5.38560083327471	-5.81290347710958	-4.81393026265951	-6.42222936335428	-5.75712363960308	-5.95528978171468	-4.42706828308030	-4.55310373202538	-3.59157556454598	-3.78262053088065	-3.26616089953015	-5.13194096712155	-4.50269741228488	-4.33972548409226	-5.16242656895095	-5.17571181402250	-5.52259638074049	-5.73464611871298	-4.35003721704895	-4.48443283677198	-9.11762071587029	-3.99056626088020	-4.48306318240645	-5.29765000360612
XBP-1-G-C	EIF4EBP1	-3.49641031374249	-4.38453032937596	-6.28824840540613	-3.63674996055587	-3.83322928062506	-3.85753661988279	-3.31132061298992	-4.25395242704636	-3.88615516118304	-5.40658057739415	-3.08050666025180	-5.41555122890355	-4.68727934529946	-3.92416401641841	-3.96091572177191	-2.80173841449358	-6.06002936434287	-4.24834694697093	-3.47194807622596	-4.53788568866297	-3.57566981769244	-5.64234320612802	-2.78684398047868	-4.53006991569266	-3.42717276069810	-4.06368473795249	-4.60918913432497	-4.19143236371059	-4.93356922365134	-3.88111808394996	-3.56599159905158	-2.99233946930010	-3.60900543394811	-4.81482668937054	-3.15650267868502	-3.99593970439704
XPA-M-V	XPA	-4.49406987622908	-5.20390240077278	-5.14476590994876	-4.65542646555983	-5.17953912885755	-3.38971234732902	-4.94104558321878	-5.64537643939688	-3.91696175617905	-4.68700657470446	-3.26746797579276	-4.37191379794987	-6.11619490610902	-4.58060349746851	-4.13155726926712	-4.55351158565812	-5.37629555309399	-5.62492161973492	-5.80073689296159	-4.91808539313148	-3.56389882866337	-4.29163338068062	-5.29184373108926	-4.76582732835906	-4.60718090371936	-3.53670010668418	-4.73486764166317	-4.87674262527073	-5.96407245967287	-4.25403748600326	-3.44935956224181	-4.52683267679740	-5.12492605611027	-5.97345164366069	-4.29735930445597	-4.54106697011510
XPF-R-C	ERCC4	-3.98153275538847	-4.89590987971614	-5.18388921726568	-4.27264984589631	-4.13360783320472	-4.41386500607568	-5.06353636469514	-5.97931445659995	-4.98829764328375	-5.76221834789229	-5.44557669374012	-6.22916308530287	-4.12667049502146	-4.42519456328509	-5.47178798381514	-3.25474637365487	-4.35997993348666	-5.05718486015422	-6.95185758235480	-4.19224622814084	-4.87966749673931	-5.29556329575892	-3.96241066546854	-4.32794389745309	-5.00142643009341	-4.17262398508379	-4.62855898901904	-7.62697788636688	-4.62949326796722	-6.33557055233128	-4.22013246295113	-4.16383711012801	-4.32823698151920	-4.60630633633358	-4.46493809236989	-4.26079520122727
