Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
RSK-R-C	RPS6KA1	-4.54957302149717	-4.90377526616815	-4.83789258798988	-5.54693401994187	-4.54030760225671	-3.58518520347374	-4.49827022838376	-4.33704350389663	-4.66344815587750	-6.19344424286031	-5.01581258388604	-4.63610118008948	-4.60131095315524	-4.31636540814211	-3.94312633570618	-3.55955158396282	-4.71969322093667	-4.56732283244136	-5.33517942825310	-3.78897042738830	-4.14551207326434	-4.51763104306160	-3.94963763135123	-3.68186384996597	-3.78637230926483	-3.00650312231048	-4.34688463036865	-3.77050781430605	-7.26636505273135	-4.87089195496516	-4.80594744192341	-4.09235112543653	-4.10549721441341	-4.31641575775285	-3.71503049391732	-5.36436385588347
S6-M-V	RPS6	-2.97466655211773	-5.43732363341803	-3.81718765598438	-3.58670303514150	-3.11873423656324	-3.34283812081231	-4.46903337368785	-4.09454509536834	-4.67750508635443	-2.95835116345195	-2.63371639863041	-2.94919766316314	-4.23122312020505	-4.87318543017551	-2.83939040723230	-2.12518716191337	-3.50320075669413	-3.82782873809076	-2.83585257193572	-3.45919335041376	-2.22023741162157	-5.07346669712211	-2.54923330838527	-4.64941530603646	-1.66982292067427	-1.55316390638737	-5.21244288039014	-2.34084704956806	-2.87914986256178	-3.40046247096221	-2.16753465218424	-4.62817328658413	-3.91553342900876	-6.38624105069001	-2.61270419477444	-2.53873743172809
S6_pS235_S236-R-V	RPS6	-3.22384784054045	-3.42517838381134	-4.65323475000097	-4.93840403213265	-8.26557176157771	-7.23912359615941	-4.09545602622076	-4.76763414121610	-2.91093029873591	-0.855915265381802	-2.10577184090197	-4.74779149151178	-3.31880824556306	-2.48304900034540	-2.63191614160121	-4.31034462047545	-2.87382446663733	-2.76362114722051	-2.34477448092127	-1.91625937725556	-3.93876620148580	-4.21647383913516	-2.46277698257381	-3.45670582132120	-2.04383977968905	-5.67338780276127	-4.13454635221436	-1.99703343302404	-2.69066736648393	-2.28265913025674	-2.88261638646141	-5.32090309993111	-1.87853963509519	-3.49946200729968	0.679715004854144	-2.16154125263247
S6_pS240_S244-R-V	RPS6	-3.31111026310724	-3.04900312370849	-4.00198864227384	-4.06216075827518	-5.94217401877424	-6.38719162808414	-4.36205554768265	-4.33250290173868	-3.81976109004722	-2.60847717381160	-2.88472316181583	-4.06601032371991	-3.59463299124258	-2.93081922496086	-2.78586485872746	-3.43203907631568	-2.93614506620082	-3.56923705077480	-3.19242416918107	-2.17556790575511	-3.46244828010312	-3.74513732626406	-3.41704170750876	-2.93395192188454	-3.82036130747743	-4.78759860468517	-5.72875715301252	-3.87317801194210	-3.70365786675843	-2.55280258504895	-3.68493727682168	-4.29399226965329	-3.58789854735074	-1.99158720622027	-2.44030991680703	-4.11653607472274
SCD-M-V	SCD	-4.27409676696032	-4.33947912420946	-4.01048631902166	-4.83087350745159	-4.50846743652734	-3.88807925576649	-5.66599553015326	-4.81824217740190	-6.77194924030941	-3.33158645030726	-3.49440446003678	-5.85097670048961	-4.41737777826793	-5.67748855539404	-5.42805139965673	-5.28242957764834	-4.87568756923154	-4.95900780729261	-5.04864952064709	-4.27587284441876	-4.89901683760686	-4.81327550651819	-5.56379728643109	-5.24487163653378	-4.28854649925475	-4.28158689206776	-6.78246509594487	-4.94388912242252	-5.04715702607862	-4.44959526247126	-3.96786937322144	-5.20731404413152	-6.09907031762595	-6.06293665576922	-4.48352362356114	-4.50676883548360
SDHA-R-V	SDHA	-6.74646202311298	-3.78407085324218	-3.94614892769455	-3.75239814052359	-4.03236398301781	-2.81267015740469	-6.74989086172142	-4.87444799380114	-5.80051185486596	-4.09600861551647	-4.01102853485189	-4.94773140636386	-4.41396790284808	-5.20417801557858	-4.03924652710899	-5.59101722906407	-4.79033584404897	-5.78076722722412	-3.66022842161355	-3.71658438162362	-3.73516530610814	-4.15499267737369	-4.82809290531207	-3.82414306148869	-4.19575621230772	-5.48996143171467	-4.80722900882783	-4.34584067459531	-4.62323299961390	-4.66723864576662	-5.85449735042843	-3.76218773526638	-6.18739618926532	-3.55540681188101	-3.34735550419671	-4.02446619514458
SF2-M-V	SRSF1	-6.06749642980990	-5.14598205102967	-5.90757560031567	-5.58034173133980	-3.83720420662932	-3.84530254994243	-5.19334101357583	-6.38956983757566	-6.49122217732565	-5.20327241699437	-6.15755406383491	-4.93068007494692	-5.32341920334850	-6.58482430676883	-5.51140209647174	-4.24514379412910	-6.08219321509894	-4.68835087944223	-7.19626213308842	-4.62714997255063	-4.55973524024231	-4.81149914816342	-4.46202298555294	-4.75398253822326	-5.26361061293360	-6.52220563978572	-5.41836466528891	-4.90489333800287	-5.67477253223632	-4.89157421563750	-7.06942000387568	-5.07779152112817	-4.35845485635563	-4.71303837800790	-4.40441087234890	-5.82298441433214
Shc_pY317-R-V	SHC1 SHC2 SHC3 SHC4	-5.19098284844228	-5.51461987816410	-7.92182719577964	-5.76360319745660	-4.51251306093923	-3.87970651299313	-5.24811114915853	-5.40315858475181	-5.79737660267329	-6.15205739536463	-4.87249254945429	-5.36868680680269	-5.13185115846795	-6.00963831120168	-2.93881880818808	-3.68205364785278	-5.03301581079493	-5.15945203583705	-5.57367123233765	-3.50132633051587	-3.49015545200353	-4.67300217627345	-4.87428276017062	-6.43815926508037	-3.79192125847279	-6.15974295358218	-8.04746128086142	-4.51501126025327	-6.14966527536393	-4.17586976056392	-4.69106778174592	-5.18060265152340	-4.81487743473853	-5.61127572350209	-5.01174850625401	-5.71097423491840
SHP-2_pY542-R-C	PTPN11	-4.61588593625715	-6.22275271697536	-4.67995680810232	-4.91677444331811	-3.94361963623686	-6.27033641700349	-7.39854731141843	-4.21936974448748	-5.33470229090484	-4.25365392108043	-4.95285121553083	-3.56662866282004	-4.12330173804046	-4.21010137650349	-5.28146661943811	-3.76007270582163	-3.27636326527451	-6.73969054531431	-4.99615543180740	-5.09366730733638	-3.15273642746892	-4.84503949175551	-5.06902449967621	-6.07590632895880	-4.98827454090175	-3.55075334119784	-4.44848045127019	-4.52079397236926	-5.02006991470113	-5.73551399333739	-3.92244505548283	-4.01104517537503	-6.53573127737519	-5.15779630661330	-4.43037381233975	-4.89254838075016
SLC1A5-R-C	SLC1A5	-4.23665180683286	-3.68898362580217	-4.69693773173758	-4.43298073528335	-5.44409852091142	-3.73357676362800	-3.82913624296359	-4.46133177697456	-4.47261725040449	-3.55428769969716	-2.54414990266745	-5.07442679589988	-4.07476057489372	-4.03621333732341	-3.84408004792279	-2.56072139862856	-4.68666896627587	-5.03600672900926	-5.05405322196493	-3.41680963215838	-4.22033916057451	-6.07229698397516	-3.33833113674313	-4.31465117551698	-3.87795323386360	-5.72454157456232	-5.19749812576699	-3.67563799914339	-8.13417473356953	-4.15858138575553	-3.32217001672730	-4.99495035147851	-4.25649015368846	-4.53891771673101	-3.26807006012870	-4.49986042119891
